c1,c2,c3,c4,c5,c6,c7,c8,location,year,c0
65Ëê¼°ÒÔÉÏ,14572,11376,7922,3454,3196,2260,936,150000,2011,51
ºÏ¼Æ,,,,,,,,640000,2011,1
16Ëê¼°ÒÔÏÂ,3,3,1,2,0,0,0,640000,2011,2
17Ëê,1,1,1,0,0,0,0,640000,2011,3
18Ëê,2,2,1,1,0,0,0,640000,2011,4
19Ëê,7,6,3,3,1,1,0,640000,2011,5
20Ëê,13,12,12,0,1,1,0,640000,2011,6
21Ëê,30,30,13,17,0,0,0,640000,2011,7
22Ëê,67,66,44,22,1,1,0,640000,2011,8
23Ëê,99,98,58,40,1,1,0,640000,2011,9
24Ëê,231,229,176,53,2,2,0,640000,2011,10
25Ëê,169,167,97,70,2,2,0,640000,2011,11
26Ëê,151,150,94,56,1,0,1,640000,2011,12
27Ëê,174,172,107,65,2,2,0,640000,2011,13
28Ëê,218,217,144,73,1,1,0,640000,2011,14
29Ëê,277,275,169,106,2,1,1,640000,2011,15
30Ëê,333,329,199,130,4,1,3,640000,2011,16
31Ëê,620,614,370,244,6,3,3,640000,2011,17
32Ëê,1199,1192,739,453,7,2,5,640000,2011,18
33Ëê,2777,2756,1599,1157,21,11,10,640000,2011,19
34Ëê,4854,4817,2635,2182,37,24,13,640000,2011,20
35Ëê,8404,8354,4546,3808,50,27,23,640000,2011,21
36Ëê,11883,11804,6533,5269,79,36,43,640000,2011,22
37Ëê,15645,15533,8547,6986,112,49,63,640000,2011,23
38Ëê,19424,19302,10746,8556,122,61,61,640000,2011,24
39Ëê,23295,23146,12956,10190,149,74,75,640000,2011,25
40Ëê,23666,23518,12877,10640,148,60,88,640000,2011,26
41Ëê,26701,26557,14395,12161,144,66,78,640000,2011,27
42Ëê,25627,25452,13985,11466,175,79,96,640000,2011,28
43Ëê,27951,27794,15131,12663,157,76,81,640000,2011,29
44Ëê,20217,20125,10945,9179,92,44,48,640000,2011,30
45Ëê,20442,20340,11482,8858,102,55,47,640000,2011,31
46Ëê,19855,19762,11356,8406,93,49,44,640000,2011,32
47Ëê,20937,20839,12284,8555,98,62,36,640000,2011,33
48Ëê,22319,22215,12871,9344,104,57,47,640000,2011,34
49Ëê,18151,18073,10945,7128,78,39,39,640000,2011,35
50Ëê,5807,5791,4533,1258,16,12,4,640000,2011,36
51Ëê,7613,7581,6235,1346,32,30,2,640000,2011,37
52Ëê,6725,6707,5595,1112,18,18,0,640000,2011,38
53Ëê,8295,8264,6965,1299,31,31,0,640000,2011,39
54Ëê,8928,8890,7438,1452,38,37,1,640000,2011,40
55Ëê,6771,6751,6058,693,20,19,1,640000,2011,41
56Ëê,6342,6327,5770,557,15,15,0,640000,2011,42
57Ëê,5923,5910,5429,481,13,13,0,640000,2011,43
58Ëê,4784,4777,4500,277,7,7,0,640000,2011,44
59Ëê,4243,4237,4006,231,6,6,0,640000,2011,45
60Ëê,1349,1347,1182,165,2,2,0,640000,2011,46
61Ëê,1134,1133,988,145,1,1,0,640000,2011,47
62Ëê,902,901,763,138,1,1,0,640000,2011,48
63Ëê,630,629,448,181,1,1,0,640000,2011,49
64Ëê,495,494,291,203,1,0,1,640000,2011,50
65Ëê¼°ÒÔÉÏ,2246,2246,1860,386,0,0,0,640000,2011,51
ºÏ¼Æ,264528,264528,150615,113912,0,0,0,630000,2011,1
16Ëê¼°ÒÔÏÂ,57,57,45,12,0,0,0,630000,2011,2
17Ëê,0,0,0,0,0,0,0,630000,2011,3
18Ëê,4,4,1,3,0,0,0,630000,2011,4
19Ëê,7,7,3,4,0,0,0,630000,2011,5
20Ëê,12,12,9,3,0,0,0,630000,2011,6
21Ëê,14,14,11,3,0,0,0,630000,2011,7
22Ëê,16,16,10,6,0,0,0,630000,2011,8
23Ëê,18,18,10,8,0,0,0,630000,2011,9
24Ëê,36,36,16,20,0,0,0,630000,2011,10
25Ëê,32,32,14,18,0,0,0,630000,2011,11
26Ëê,31,31,10,21,0,0,0,630000,2011,12
27Ëê,46,46,24,22,0,0,0,630000,2011,13
28Ëê,61,61,21,40,0,0,0,630000,2011,14
29Ëê,100,100,44,56,0,0,0,630000,2011,15
30Ëê,163,163,98,65,0,0,0,630000,2011,16
31Ëê,338,338,192,146,0,0,0,630000,2011,17
32Ëê,942,942,544,398,0,0,0,630000,2011,18
33Ëê,2012,2012,1115,897,0,0,0,630000,2011,19
34Ëê,3436,3436,1944,1492,0,0,0,630000,2011,20
35Ëê,5746,5746,3185,2561,0,0,0,630000,2011,21
36Ëê,7991,7991,4251,3740,0,0,0,630000,2011,22
37Ëê,10246,10246,5511,4735,0,0,0,630000,2011,23
38Ëê,13102,13102,6930,6172,0,0,0,630000,2011,24
39Ëê,15601,15601,8381,7219,0,0,0,630000,2011,25
40Ëê,16834,16834,8701,8133,0,0,0,630000,2011,26
41Ëê,18224,18224,9367,8857,0,0,0,630000,2011,27
42Ëê,18905,18905,9839,9066,0,0,0,630000,2011,28
43Ëê,20622,20622,10412,10210,0,0,0,630000,2011,29
44Ëê,16920,16920,8653,8267,0,0,0,630000,2011,30
45Ëê,16879,16879,9030,7849,0,0,0,630000,2011,31
46Ëê,16694,16694,8961,7733,0,0,0,630000,2011,32
47Ëê,17638,17638,9583,8055,0,0,0,630000,2011,33
48Ëê,17679,17679,9655,8024,0,0,0,630000,2011,34
49Ëê,13941,13941,7757,6184,0,0,0,630000,2011,35
50Ëê,3859,3859,3286,573,0,0,0,630000,2011,36
51Ëê,4794,4794,4156,638,0,0,0,630000,2011,37
52Ëê,4779,4779,4262,517,0,0,0,630000,2011,38
53Ëê,5748,5748,5312,436,0,0,0,630000,2011,39
54Ëê,5070,5070,4710,360,0,0,0,630000,2011,40
55Ëê,1277,1277,1070,207,0,0,0,630000,2011,41
56Ëê,913,913,764,149,0,0,0,630000,2011,42
57Ëê,761,761,608,153,0,0,0,630000,2011,43
58Ëê,531,531,434,97,0,0,0,630000,2011,44
59Ëê,455,455,333,122,0,0,0,630000,2011,45
60Ëê,253,253,193,60,0,0,0,630000,2011,46
61Ëê,222,222,166,56,0,0,0,630000,2011,47
62Ëê,419,419,303,116,0,0,0,630000,2011,48
63Ëê,132,132,105,27,0,0,0,630000,2011,49
64Ëê,193,193,167,26,0,0,0,630000,2011,50
65Ëê¼°ÒÔÉÏ,775,775,419,356,0,0,0,630000,2011,51
ºÏ¼Æ,2275142,2273467,1302000,908724,0,0,0,370000,2011,1
16Ëê¼°ÒÔÏÂ,46,46,25,20,0,0,0,370000,2011,2
17Ëê,122,122,106,16,0,0,0,370000,2011,3
18Ëê,231,231,134,95,0,0,0,370000,2011,4
19Ëê,616,616,361,232,0,0,0,370000,2011,5
20Ëê,1760,1760,1236,522,0,0,0,370000,2011,6
21Ëê,2334,2334,1553,780,0,0,0,370000,2011,7
22Ëê,3386,3386,2097,1289,0,0,0,370000,2011,8
23Ëê,5068,5068,3133,1934,0,0,0,370000,2011,9
24Ëê,6393,6393,4229,2161,0,0,0,370000,2011,10
25Ëê,9065,9065,6907,2157,0,0,0,370000,2011,11
26Ëê,5358,5358,2995,2358,0,0,0,370000,2011,12
27Ëê,6354,6354,3423,2931,0,0,0,370000,2011,13
28Ëê,12617,12617,8647,3967,0,0,0,370000,2011,14
29Ëê,9191,9191,5046,4139,0,0,0,370000,2011,15
30Ëê,11995,11995,6624,5320,0,0,0,370000,2011,16
31Ëê,18599,18599,9360,8959,0,0,0,370000,2011,17
32Ëê,28912,28912,14421,13787,0,0,0,370000,2011,18
33Ëê,41167,41167,19832,19981,0,0,0,370000,2011,19
34Ëê,60821,60821,28685,29860,0,0,0,370000,2011,20
35Ëê,83511,83511,39506,40755,0,0,0,370000,2011,21
36Ëê,90187,90187,42487,44226,0,0,0,370000,2011,22
37Ëê,110122,110122,56274,50122,0,0,0,370000,2011,23
38Ëê,121487,121487,58253,58866,0,0,0,370000,2011,24
39Ëê,131904,131904,64221,63223,0,0,0,370000,2011,25
40Ëê,159051,159051,81062,72656,0,0,0,370000,2011,26
41Ëê,128831,128831,62731,61965,0,0,0,370000,2011,27
42Ëê,125070,125070,61021,60384,0,0,0,370000,2011,28
43Ëê,90050,90050,44293,43043,0,0,0,370000,2011,29
44Ëê,94956,94956,48169,43935,0,0,0,370000,2011,30
45Ëê,103251,103251,53867,46468,0,0,0,370000,2011,31
46Ëê,107625,107625,56675,48126,0,0,0,370000,2011,32
47Ëê,137480,137480,72116,61947,0,0,0,370000,2011,33
48Ëê,101390,101390,53477,44805,0,0,0,370000,2011,34
49Ëê,35695,35695,27753,6894,0,0,0,370000,2011,35
50Ëê,45386,45386,36913,7064,0,0,0,370000,2011,36
51Ëê,41726,41726,35027,5511,0,0,0,370000,2011,37
52Ëê,55882,55882,47109,7153,0,0,0,370000,2011,38
53Ëê,60195,60195,50474,7947,0,0,0,370000,2011,39
54Ëê,45213,45213,38913,5053,0,0,0,370000,2011,40
55Ëê,41180,41180,36055,4051,0,0,0,370000,2011,41
56Ëê,38434,38434,33731,3773,0,0,0,370000,2011,42
57Ëê,35192,35192,31046,3157,0,0,0,370000,2011,43
58Ëê,31261,31261,27324,2872,0,0,0,370000,2011,44
59Ëê,9069,9069,6186,2553,0,0,0,370000,2011,45
60Ëê,7555,7555,4836,2502,0,0,0,370000,2011,46
61Ëê,6300,6300,3732,2366,0,0,0,370000,2011,47
62Ëê,4947,4947,2873,1872,0,0,0,370000,2011,48
63Ëê,3273,2315,3192,1789,0,0,0,370000,2011,49
64Ëê,2967,2478,2315,1715,0,0,0,370000,2011,50
65Ëê¼°ÒÔÉÏ,1917,1689,1555,1423,0,0,0,370000,2011,51
ºÏ¼Æ,2105734,1779320,1101035,678285,326415,192000,134414,140000,2011,1
16Ëê¼°ÒÔÏÂ,1940,1729,970,759,212,131,81,140000,2011,2
17Ëê,548,484,306,178,65,32,32,140000,2011,3
18Ëê,644,591,345,245,54,29,25,140000,2011,4
19Ëê,10698,8220,6220,2000,2477,1911,566,140000,2011,5
20Ëê,358,306,198,108,52,32,20,140000,2011,6
21Ëê,551,503,278,225,48,27,22,140000,2011,7
22Ëê,484,425,298,127,59,34,25,140000,2011,8
23Ëê,593,530,371,159,63,39,23,140000,2011,9
24Ëê,497,450,278,172,47,27,20,140000,2011,10
25Ëê,671,549,389,160,122,84,38,140000,2011,11
26Ëê,551,510,366,144,41,25,16,140000,2011,12
27Ëê,470,425,278,147,45,27,18,140000,2011,13
28Ëê,593,523,337,186,70,34,36,140000,2011,14
29Ëê,1424,1186,676,510,238,100,138,140000,2011,15
30Ëê,3409,2739,1574,1165,670,310,360,140000,2011,16
31Ëê,8045,6399,3592,2808,1646,778,868,140000,2011,17
32Ëê,17679,14232,8296,5936,3447,1757,1690,140000,2011,18
33Ëê,27157,22145,11911,10234,5012,2305,2707,140000,2011,19
34Ëê,40840,33152,17847,15305,7688,3635,4053,140000,2011,20
35Ëê,59161,48276,26052,22224,10886,5313,5573,140000,2011,21
36Ëê,74100,61706,32835,28872,12393,5933,6460,140000,2011,22
37Ëê,85113,70105,36862,33243,15009,6976,8032,140000,2011,23
38Ëê,94356,78016,40386,37630,16340,7763,8577,140000,2011,24
39Ëê,105638,87367,45598,41768,18271,8712,9559,140000,2011,25
40Ëê,106885,88488,45975,42513,18396,8866,9531,140000,2011,26
41Ëê,273263,250794,153857,96937,22469,12083,10386,140000,2011,27
42Ëê,109312,91107,47335,43772,18205,9126,9079,140000,2011,28
43Ëê,116743,97126,50133,46993,19617,10065,9552,140000,2011,29
44Ëê,84126,70367,36933,33434,13759,7308,6451,140000,2011,30
45Ëê,87198,72236,39801,32435,14962,8195,6767,140000,2011,31
46Ëê,91134,76292,44060,32233,14842,8382,6460,140000,2011,32
47Ëê,94163,78879,46510,32369,15285,8943,6342,140000,2011,33
48Ëê,102213,86327,51069,35259,15885,9317,6568,140000,2011,34
49Ëê,92696,77913,46876,31037,14783,8898,5885,140000,2011,35
50Ëê,38561,32445,25942,6504,6116,4997,1119,140000,2011,36
51Ëê,53745,44880,38254,6625,8866,7426,1439,140000,2011,37
52Ëê,45908,38672,34108,4564,7236,6256,980,140000,2011,38
53Ëê,50404,42587,37852,4736,7817,6636,1181,140000,2011,39
54Ëê,48113,40686,35910,4776,7426,6100,1326,140000,2011,40
55Ëê,31995,26944,24648,2296,5051,4499,552,140000,2011,41
56Ëê,27340,22918,21073,1845,4422,4125,298,140000,2011,42
57Ëê,26110,21873,20067,1805,4237,3911,326,140000,2011,43
58Ëê,23568,19552,17642,1910,4015,3807,208,140000,2011,44
59Ëê,21017,17299,15709,1591,3718,3538,179,140000,2011,45
60Ëê,6499,5516,4192,1324,982,875,108,140000,2011,46
61Ëê,6639,5666,4024,1642,973,801,172,140000,2011,47
62Ëê,3285,2931,1931,1000,353,274,79,140000,2011,48
63Ëê,2462,2261,1487,774,201,160,41,140000,2011,49
64Ëê,2764,2561,1828,733,203,161,41,140000,2011,50
65Ëê¼°ÒÔÉÏ,24072,22432,17558,4874,1640,1235,405,140000,2011,51
ºÏ¼Æ,1711994,1711994,1090610,621384,0,0,0,610000,2011,1
16Ëê¼°ÒÔÏÂ,135,135,99,36,0,0,0,610000,2011,2
17Ëê,4,4,3,1,0,0,0,610000,2011,3
18Ëê,6,6,5,1,0,0,0,610000,2011,4
19Ëê,3,3,1,2,0,0,0,610000,2011,5
20Ëê,8,8,6,2,0,0,0,610000,2011,6
21Ëê,10,10,9,1,0,0,0,610000,2011,7
22Ëê,16,16,6,10,0,0,0,610000,2011,8
23Ëê,20,20,12,8,0,0,0,610000,2011,9
24Ëê,35,35,24,11,0,0,0,610000,2011,10
25Ëê,73,73,41,32,0,0,0,610000,2011,11
26Ëê,118,118,70,48,0,0,0,610000,2011,12
27Ëê,296,296,185,111,0,0,0,610000,2011,13
28Ëê,500,500,280,220,0,0,0,610000,2011,14
29Ëê,1036,1036,614,422,0,0,0,610000,2011,15
30Ëê,1543,1543,888,655,0,0,0,610000,2011,16
31Ëê,2738,2738,1653,1085,0,0,0,610000,2011,17
32Ëê,6460,6460,3776,2684,0,0,0,610000,2011,18
33Ëê,14529,14529,8186,6343,0,0,0,610000,2011,19
34Ëê,26444,26444,14258,12186,0,0,0,610000,2011,20
35Ëê,40966,40966,21794,19172,0,0,0,610000,2011,21
36Ëê,54387,54387,29037,25350,0,0,0,610000,2011,22
37Ëê,64625,64625,34729,29896,0,0,0,610000,2011,23
38Ëê,83779,83779,46052,37727,0,0,0,610000,2011,24
39Ëê,100986,100986,56050,44936,0,0,0,610000,2011,25
40Ëê,100720,100720,55922,44798,0,0,0,610000,2011,26
41Ëê,108218,108218,59606,48612,0,0,0,610000,2011,27
42Ëê,99623,99623,54528,45095,0,0,0,610000,2011,28
43Ëê,113221,113221,62484,50737,0,0,0,610000,2011,29
44Ëê,75724,75724,41980,33744,0,0,0,610000,2011,30
45Ëê,81737,81737,47959,33778,0,0,0,610000,2011,31
46Ëê,79550,79550,47620,31930,0,0,0,610000,2011,32
47Ëê,87080,87080,53252,33828,0,0,0,610000,2011,33
48Ëê,107471,107471,65278,42193,0,0,0,610000,2011,34
49Ëê,84944,84944,51857,33087,0,0,0,610000,2011,35
50Ëê,36911,36911,29493,7418,0,0,0,610000,2011,36
51Ëê,46466,46466,40608,5858,0,0,0,610000,2011,37
52Ëê,41125,41125,36834,4291,0,0,0,610000,2011,38
53Ëê,47085,47085,42573,4512,0,0,0,610000,2011,39
54Ëê,46118,46118,41395,4723,0,0,0,610000,2011,40
55Ëê,30652,30652,28356,2296,0,0,0,610000,2011,41
56Ëê,26112,26112,24674,1438,0,0,0,610000,2011,42
57Ëê,24673,24673,23668,1005,0,0,0,610000,2011,43
58Ëê,22782,22782,21843,939,0,0,0,610000,2011,44
59Ëê,22692,22692,21793,899,0,0,0,610000,2011,45
60Ëê,7357,7357,6593,764,0,0,0,610000,2011,46
61Ëê,3566,3566,2877,689,0,0,0,610000,2011,47
62Ëê,2279,2279,1600,679,0,0,0,610000,2011,48
63Ëê,1749,1749,1149,600,0,0,0,610000,2011,49
64Ëê,1896,1896,1203,693,0,0,0,610000,2011,50
65Ëê¼°ÒÔÉÏ,13526,13526,7687,5839,0,0,0,610000,2011,51
ºÏ¼Æ,1951850,1850344,1398185,452159,101506,60814,40692,310000,2011,1
16Ëê¼°ÒÔÏÂ,7,7,2,5,0,,,310000,2011,2
17Ëê,1,1,,1,0,,,310000,2011,3
18Ëê,3,3,3,,0,,,310000,2011,4
19Ëê,0,0,,,0,,,310000,2011,5
20Ëê,4,4,1,3,0,,,310000,2011,6
21Ëê,4,4,4,,0,,,310000,2011,7
22Ëê,3,3,1,2,0,,,310000,2011,8
23Ëê,5,5,4,1,0,,,310000,2011,9
24Ëê,2,2,,2,0,,,310000,2011,10
25Ëê,2,2,2,,0,,,310000,2011,11
26Ëê,2,2,1,1,0,,,310000,2011,12
27Ëê,0,0,,,0,,,310000,2011,13
28Ëê,1,1,1,,0,,,310000,2011,14
29Ëê,8,8,3,5,0,,,310000,2011,15
30Ëê,2,2,1,1,0,,,310000,2011,16
31Ëê,7,6,2,4,1,,1,310000,2011,17
32Ëê,22,22,3,19,0,,,310000,2011,18
33Ëê,47,44,17,27,3,1,2,310000,2011,19
34Ëê,264,251,91,160,13,1,12,310000,2011,20
35Ëê,2779,2694,1090,1604,85,17,68,310000,2011,21
36Ëê,8325,8008,3558,4450,317,110,207,310000,2011,22
37Ëê,20229,19389,10091,9298,840,311,529,310000,2011,23
38Ëê,37904,36355,19675,16680,1549,650,899,310000,2011,24
39Ëê,47431,45494,25446,20048,1937,820,1117,310000,2011,25
40Ëê,59974,56998,32550,24448,2976,1082,1894,310000,2011,26
41Ëê,79452,75285,43118,32167,4167,1574,2593,310000,2011,27
42Ëê,83672,79006,45099,33907,4666,1742,2924,310000,2011,28
43Ëê,91746,86645,49149,37496,5101,1862,3239,310000,2011,29
44Ëê,69863,65996,37682,28314,3867,1385,2482,310000,2011,30
45Ëê,75368,71020,41209,29811,4348,1856,2492,310000,2011,31
46Ëê,86981,81942,48005,33937,5039,2307,2732,310000,2011,32
47Ëê,104921,98259,57388,40871,6662,2691,3971,310000,2011,33
48Ëê,164156,153090,87614,65476,11066,4166,6900,310000,2011,34
49Ëê,142401,134449,78821,55628,7952,3777,4175,310000,2011,35
50Ëê,75568,71424,67738,3686,4144,3257,887,310000,2011,36
51Ëê,92179,88000,84714,3286,4179,3600,579,310000,2011,37
52Ëê,89678,85881,83328,2553,3797,3415,382,310000,2011,38
53Ëê,105339,101225,98398,2827,4114,3754,360,310000,2011,39
54Ëê,119783,115149,112494,2655,4634,4225,409,310000,2011,40
55Ëê,85329,81681,81218,463,3648,3325,323,310000,2011,41
56Ëê,81424,77915,77555,360,3509,3192,317,310000,2011,42
57Ëê,85998,81631,81364,267,4367,4014,353,310000,2011,43
58Ëê,68275,64059,63859,200,4216,3806,410,310000,2011,44
59Ëê,54207,50979,50815,164,3228,2867,361,310000,2011,45
60Ëê,1475,1159,1032,127,316,276,40,310000,2011,46
61Ëê,903,693,608,85,210,193,17,310000,2011,47
62Ëê,637,463,386,77,174,169,5,310000,2011,48
63Ëê,501,348,299,49,153,150,3,310000,2011,49
64Ëê,435,301,258,43,134,131,3,310000,2011,50
65Ëê¼°ÒÔÉÏ,14533,14439,13488,951,94,88,6,310000,2011,51
ºÏ¼Æ,,,,,,,,510000,2011,1
16Ëê¼°ÒÔÏÂ,4,4,2,2,0,0,0,510000,2011,2
17Ëê,0,0,0,0,0,0,0,510000,2011,3
18Ëê,3,3,1,2,0,0,0,510000,2011,4
19Ëê,1,1,1,0,0,0,0,510000,2011,5
20Ëê,14,14,11,3,0,0,0,510000,2011,6
21Ëê,13,13,10,3,0,0,0,510000,2011,7
22Ëê,28,28,17,11,0,0,0,510000,2011,8
23Ëê,58,58,37,21,0,0,0,510000,2011,9
24Ëê,165,165,110,52,3,1,2,510000,2011,10
25Ëê,287,287,176,109,2,1,1,510000,2011,11
26Ëê,197,197,125,70,2,1,1,510000,2011,12
27Ëê,146,146,89,56,1,0,1,510000,2011,13
28Ëê,154,154,93,57,4,2,2,510000,2011,14
29Ëê,260,260,174,78,8,3,5,510000,2011,15
30Ëê,310,310,192,107,11,4,7,510000,2011,16
31Ëê,388,388,223,151,14,4,10,510000,2011,17
32Ëê,864,864,462,368,34,13,21,510000,2011,18
33Ëê,2028,2028,1129,859,40,20,20,510000,2011,19
34Ëê,5946,5946,3382,2470,94,34,60,510000,2011,20
35Ëê,9764,9764,5488,4092,184,55,129,510000,2011,21
36Ëê,15595,15595,8874,6479,241,96,145,510000,2011,22
37Ëê,20553,20553,12104,8175,274,101,173,510000,2011,23
38Ëê,24553,24553,14545,9657,350,127,223,510000,2011,24
39Ëê,27826,27826,16766,10673,385,165,220,510000,2011,25
40Ëê,27959,27959,16922,10507,529,196,333,510000,2011,26
41Ëê,29931,29931,18236,11182,512,192,320,510000,2011,27
42Ëê,26384,26384,15912,9973,499,179,320,510000,2011,28
43Ëê,27483,27483,16867,10046,565,170,395,510000,2011,29
44Ëê,18830,18830,11488,6962,378,144,234,510000,2011,30
45Ëê,20194,20194,12880,6930,383,158,225,510000,2011,31
46Ëê,21869,21869,14159,7287,423,146,277,510000,2011,32
47Ëê,25500,25500,16661,8341,497,185,312,510000,2011,33
48Ëê,31295,31295,19967,10570,758,238,520,510000,2011,34
49Ëê,19093,19093,12249,6357,487,151,336,510000,2011,35
50Ëê,7931,7931,6159,1676,96,89,7,510000,2011,36
51Ëê,9062,9062,7290,1674,98,94,4,510000,2011,37
52Ëê,8478,8478,6962,1400,116,116,0,510000,2011,38
53Ëê,12550,12550,10647,1699,203,202,1,510000,2011,39
54Ëê,11648,11648,9553,1881,213,213,0,510000,2011,40
55Ëê,7116,7116,6580,412,124,123,1,510000,2011,41
56Ëê,7110,7110,6681,299,130,130,0,510000,2011,42
57Ëê,7453,7453,7036,262,155,155,0,510000,2011,43
58Ëê,6595,6595,6247,141,207,207,0,510000,2011,44
59Ëê,5761,5761,5452,142,167,167,0,510000,2011,45
60Ëê,835,835,696,125,14,14,0,510000,2011,46
61Ëê,533,533,435,94,4,4,0,510000,2011,47
62Ëê,410,410,314,96,0,0,0,510000,2011,48
63Ëê,321,321,267,54,0,0,0,510000,2011,49
64Ëê,279,279,226,53,0,0,0,510000,2011,50
65Ëê¼°ÒÔÉÏ,2454,2454,1773,679,1,1,0,510000,2011,51
ºÏ¼Æ,1499090,1195121,783528,411593,303969,169723,134246,120000,2011,1
16Ëê¼°ÒÔÏÂ,12,8,1,7,4,1,3,120000,2011,2
17Ëê,2,2,1,1,0,0,0,120000,2011,3
18Ëê,2,2,1,1,0,0,0,120000,2011,4
19Ëê,13,11,0,11,2,0,2,120000,2011,5
20Ëê,197,196,9,187,1,1,0,120000,2011,6
21Ëê,411,409,29,380,2,1,1,120000,2011,7
22Ëê,603,601,103,498,2,1,1,120000,2011,8
23Ëê,809,804,194,610,5,2,3,120000,2011,9
24Ëê,1050,1035,325,710,15,4,11,120000,2011,10
25Ëê,992,970,399,571,22,4,18,120000,2011,11
26Ëê,2332,2297,1452,845,35,20,15,120000,2011,12
27Ëê,1245,1204,583,621,41,10,31,120000,2011,13
28Ëê,1511,1430,706,724,81,21,60,120000,2011,14
29Ëê,1870,1755,905,850,115,40,75,120000,2011,15
30Ëê,3338,2323,1215,1108,1015,477,538,120000,2011,16
31Ëê,4093,3017,1645,1372,1076,498,578,120000,2011,17
32Ëê,9998,7659,4358,3301,2339,1055,1284,120000,2011,18
33Ëê,20332,16555,9296,7259,3777,1588,2189,120000,2011,19
34Ëê,28171,23486,12560,10926,4685,1877,2808,120000,2011,20
35Ëê,35125,29435,15645,13790,5690,2141,3549,120000,2011,21
36Ëê,40163,33843,18117,15726,6320,2441,3879,120000,2011,22
37Ëê,45627,38054,20965,17089,7573,2955,4618,120000,2011,23
38Ëê,55513,45751,25331,20420,9762,3832,5930,120000,2011,24
39Ëê,60218,49254,27510,21744,10964,4290,6674,120000,2011,25
40Ëê,61132,49613,27625,21988,11519,4450,7069,120000,2011,26
41Ëê,68045,54443,29810,24633,13602,5172,8430,120000,2011,27
42Ëê,64715,51428,27829,23599,13287,4970,8317,120000,2011,28
43Ëê,74178,58814,31564,27250,15364,5617,9747,120000,2011,29
44Ëê,52312,41577,21722,19855,10735,4015,6720,120000,2011,30
45Ëê,59358,46949,24943,22006,12409,4664,7745,120000,2011,31
46Ëê,69741,54711,29020,25691,15030,5773,9257,120000,2011,32
47Ëê,86266,67018,36198,30820,19248,8111,11137,120000,2011,33
48Ëê,134629,103633,56082,47551,30996,12905,18091,120000,2011,34
49Ëê,103623,78032,44749,33283,25591,10917,14674,120000,2011,35
50Ëê,36911,29356,27088,2268,7555,7460,95,120000,2011,36
51Ëê,49865,39934,37454,2480,9931,9811,120,120000,2011,37
52Ëê,46564,37255,35116,2139,9309,9228,81,120000,2011,38
53Ëê,56352,45260,42736,2524,11092,10973,119,120000,2011,39
54Ëê,55395,44003,41494,2509,11392,11295,97,120000,2011,40
55Ëê,36400,28512,27865,647,7888,7794,94,120000,2011,41
56Ëê,34893,27817,27309,508,7076,7017,59,120000,2011,42
57Ëê,32912,26699,26254,445,6213,6168,45,120000,2011,43
58Ëê,29380,23693,23324,369,5687,5672,15,120000,2011,44
59Ëê,26956,20730,20299,431,6226,6215,11,120000,2011,45
60Ëê,997,907,589,318,90,71,19,120000,2011,46
61Ëê,702,643,382,261,59,47,12,120000,2011,47
62Ëê,715,682,409,273,33,30,3,120000,2011,48
63Ëê,410,385,215,170,25,21,4,120000,2011,49
64Ëê,471,446,234,212,25,23,2,120000,2011,50
65Ëê¼°ÒÔÉÏ,2541,2480,1868,612,61,45,16,120000,2011,51
ºÏ¼Æ,126,94,55,39,32,19,13,650000,2011,1
16Ëê¼°ÒÔÏÂ,0,0,0,0,0,0,0,650000,2011,2
17Ëê,0,0,0,0,0,0,0,650000,2011,3
18Ëê,0,0,0,0,0,0,0,650000,2011,4
19Ëê,0,0,0,0,0,0,0,650000,2011,5
20Ëê,0,0,0,0,0,0,0,650000,2011,6
21Ëê,0,0,0,0,0,0,0,650000,2011,7
22Ëê,0,0,0,0,0,0,0,650000,2011,8
23Ëê,0,0,0,0,0,0,0,650000,2011,9
24Ëê,0,0,0,0,0,0,0,650000,2011,10
25Ëê,0,0,0,0,0,0,0,650000,2011,11
26Ëê,0,0,0,0,0,0,0,650000,2011,12
27Ëê,0,0,0,0,0,0,0,650000,2011,13
28Ëê,0,0,0,0,0,0,0,650000,2011,14
29Ëê,0,0,0,0,0,0,0,650000,2011,15
30Ëê,0,0,0,0,0,0,0,650000,2011,16
31Ëê,0,0,0,0,0,0,0,650000,2011,17
32Ëê,0,0,0,0,0,0,0,650000,2011,18
33Ëê,0,0,0,0,0,0,0,650000,2011,19
34Ëê,1,1,0,0,1,0,0,650000,2011,20
35Ëê,2,1,1,1,0,0,0,650000,2011,21
36Ëê,3,2,1,1,1,1,0,650000,2011,22
37Ëê,4,3,2,2,1,1,0,650000,2011,23
38Ëê,6,4,2,2,2,1,1,650000,2011,24
39Ëê,8,5,3,2,3,1,1,650000,2011,25
40Ëê,8,5,3,3,3,1,2,650000,2011,26
41Ëê,9,6,3,3,3,1,2,650000,2011,27
42Ëê,9,6,3,3,3,1,1,650000,2011,28
43Ëê,9,7,4,3,2,1,1,650000,2011,29
44Ëê,8,6,3,3,2,2,1,650000,2011,30
45Ëê,8,6,3,3,2,1,1,650000,2011,31
46Ëê,8,6,3,3,2,1,1,650000,2011,32
47Ëê,7,6,3,3,1,1,1,650000,2011,33
48Ëê,6,5,3,3,1,0,0,650000,2011,34
49Ëê,6,5,3,2,2,1,1,650000,2011,35
50Ëê,3,2,2,1,1,0,0,650000,2011,36
